Error => $ encontrado en la linea 17, columna 7
Error => Ã encontrado en la linea 17, columna 9
Error => ± encontrado en la linea 17, columna 10
Error => x encontrado en la linea 18, columna 8
Error => V encontrado en la linea 19, columna 0
Error => A encontrado en la linea 20, columna 0
Error => x encontrado en la linea 21, columna 8
Error => a encontrado en la linea 24, columna 0
Error => e encontrado en la linea 25, columna 0
Error => e encontrado en la linea 26, columna 0
Error => e encontrado en la linea 27, columna 0
Error => x encontrado en la linea 29, columna 8
Error => @ encontrado en la linea 31, columna 2
Error => Ã encontrado en la linea 32, columna 0
Error => ± encontrado en la linea 32, columna 1
Error => Ã encontrado en la linea 33, columna 3
Error => ± encontrado en la linea 33, columna 4
Error => p encontrado en la linea 33, columna 5
Error => ! encontrado en la linea 34, columna 3
Error => ! encontrado en la linea 34, columna 4
Error => $ encontrado en la linea 67, columna 72
Error => E encontrado en la linea 98, columna 0
Error => E encontrado en la linea 98, columna 1
Error => . encontrado en la linea 99, columna 0
Error => . encontrado en la linea 99, columna 1
Error => e encontrado en la linea 100, columna 0
Error => . encontrado en la linea 100, columna 1
Error => e encontrado en la linea 100, columna 2
Error => e encontrado en la linea 101, columna 2
